"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","1","tests","test_dataHandling","","","","test_cli[prodpassword]",""
"broken","Tue Sep 15 02:52:33 UTC 2026","Tue Sep 15 02:53:03 UTC 2026","30006","tests","test_results","","","","test_validateTheresultsUI[chromium]",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_excelhandling_write",""
"skipped","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_copyPaste",""
"failed","Tue Sep 15 02:52:33 UTC 2026","Tue Sep 15 02:52:38 UTC 2026","5003","tests","test_home","","","","test_valdiatePageComponents[chromium]",""
"failed","Tue Sep 15 02:52:39 UTC 2026","Tue Sep 15 02:52:44 UTC 2026","5004","tests","test_login","","","","test_validatePositiveLoginWithValidCredentials[chromium]",""
"passed","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","1","tests","test_dataHandling","","","","test_cli_env",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_jsonhandling",""
"broken","Tue Sep 15 02:52:39 UTC 2026","Tue Sep 15 02:53:09 UTC 2026","30002","tests","test_login","","","","test_validateLoginNavigationToAuthenticationScreen[chromium]",""
"passed","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_cli[devpassword]",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_excelhandling",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","1","tests","test_dataHandling","","","","test_csvhandling",""
"passed","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_cli[testpassword]",""
"passed","Tue Sep 15 02:52:32 UTC 2026","Tue Sep 15 02:52:32 UTC 2026","158","test_api","test_apiTest","","","","test_postApi",""
"failed","Tue Sep 15 02:52:33 UTC 2026","Tue Sep 15 02:52:38 UTC 2026","5004","tests","test_home","","","","test_validateTheVisibilityofPageComponents[chromium]",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:31 UTC 2026","0","tests","test_dataHandling","","","","test_jsonHandling2",""
"broken","Tue Sep 15 02:52:31 UTC 2026","Tue Sep 15 02:52:32 UTC 2026","644","test_api","test_apiTest","","","","test_getAPI",""
